key	en	ja
APP_TITLE	Focus Tiger	Focus Tiger
CHARACTER_NAME	Yin	Yin
LOADING	Loading…	読み込み中…
BTN_FOCUS_START	Sit with Yin	Yinと坐る
BTN_FOCUS_STOP	Rise	立つ
AMBIENT_TITLE	Soundscape	サウンドスケープ
AMBIENT_FAB_LABEL	Sound	音
AMBIENT_MUSIC_ON	Turn music on	音楽をオンにする
AMBIENT_MUSIC_OFF	Turn music off	音楽をオフにする
AMBIENT_MUSIC_ON_ARIA	Turn background music on	背景音楽をオンにする
AMBIENT_MUSIC_OFF_ARIA	Turn background music off	背景音楽をオフにする
AMBIENT_TRACKS_LABEL	Tracks	トラック
AMBIENT_TRACKS_ARIA	Choose ambient track	アンビエントトラックを選ぶ
AMBIENT_TOGGLE_ARIA	Open ambient soundscape	アンビエントサウンドを開く
NARROW_SHEET_TITLE	Sit options	坐のオプション
NARROW_SHEET_CLOSE	Close	閉じる
NARROW_SHEET_SWIPE_HINT	Swipe up for options	上にスワイプでオプション
WIDE_MORE_ARIA	More sit options	その他の坐オプション
AMBIENT_NUDGE	Optional: a quiet soundscape can keep you company.	任意：静かな音が、そばにいてくれます。
AMBIENT_DEFAULT_ON_NUDGE	Tap the note anytime to play quiet music.	音符をタップすると、いつでも静かな音楽を聴けます。
AMBIENT_REQUIRES_FOCUS	Start a companion focus mode first — then Sound can open.	先に同伴フォーカスを始めてから、音を開けます。
AMBIENT_TRACK_OFF	Off	オフ
AMBIENT_TRACK_SINGING_BOWL	Mer-Ka-Ba	Mer-Ka-Ba
AMBIENT_TRACK_DIVINE_LIFE_SOCIETY	Divine Life Society	Divine Life Society
AMBIENT_TRACK_LORD_OF_THE_DAWN	Lord Of The Dawn	Lord Of The Dawn
AMBIENT_TRACK_MAESTRO_TLAKAELEL	Maestro Tlakaelel	Maestro Tlakaelel
AMBIENT_TRACK_THE_INNER_SOUND	The Inner Sound	The Inner Sound
AMBIENT_TRACK_SOMNIA_VARIATION_3	Somnia Variation 3	Somnia Variation 3
AMBIENT_TRACK_SOMNIA_VARIATION_10	Somnia Variation 10	Somnia Variation 10
AMBIENT_TRACK_RAIN	Meditation Impromptu	Meditation Impromptu
AMBIENT_TRACK_DREAMLAND	Dreamland	Dreamland
AMBIENT_TRACK_INVISIBLE_BEAUTY	Invisible Beauty	Invisible Beauty
AMBIENT_TRACK_KISS_THE_SKY	Kiss the Sky	Kiss the Sky
AMBIENT_TRACK_FROZEN_IN_LOVE	Frozen in Love	Frozen in Love
HUD_LABEL_STATE	Status	状態
HUD_LABEL_LEVEL	Focus	集中
HUD_LABEL_TIME	Time	時間
HUD_ARIA_LABEL	Session presence — gold ring; hover for focus percent	セッションの気配 — 金の輪；ホバーで集中の割合
HUD_PROGRESS_SHARED_SITTING	Today's shared sitting	きょう、いっしょに坐った時間
HUD_STREAK_HOVER	Recent days you've sat together	最近、いっしょに坐った日
STATE_IDLE	Calm	穏やか
STATE_FOCUSING	Focusing	集中中
STATE_CELEBRATE	Celebrating	お祝い
STATE_DORMANT	Asleep	眠り
MINDFUL_FOCUS_MILESTONE_1	Twenty minutes have passed, one breath at a time.	二十分が、一息ずつ過ぎました。
MINDFUL_FOCUS_MILESTONE_2	This stretch of quiet has been noticed.	この静けさのあいだが、気づかれました。
MINDFUL_FOCUS_MILESTONE_3	Attention has stayed here for a while.	注意が、しばらくここに留まっています。
MINDFUL_FOCUS_MILESTONE_4	Another breath arrives in this quiet moment.	また一息が、この静かな瞬間に届きます。
STRETCH_REMINDER_1	The body has been still for a while. A little movement is welcome.	からだはしばらく静かでした。少し動いてもよいです。
STRETCH_REMINDER_2	Two quiet hours have passed. There is room to stretch.	静かな二時間が過ぎました。伸びをする余地があります。
STRETCH_REMINDER_3	A long stretch of stillness has passed. The body can move when ready.	長い静けさが過ぎました。準備ができたら、からだを動かせます。
REFOCUS_ACKNOWLEDGE_1	Attention wandered for a while. Now it has returned here.	注意はしばらくさまよっていました。いま、ここに戻っています。
REFOCUS_ACKNOWLEDGE_2	That moment has passed. Attention is back with this breath.	その瞬間は過ぎました。注意は、この息とともにあります。
REFOCUS_ACKNOWLEDGE_3	There was a moment elsewhere. Now there is this moment of return.	よそにいた瞬間がありました。いまは、戻ってきたこの瞬間です。
FLOWER_BLOW_WELCOME_1	No hurry, no expectation. Being here is enough.	急がなくていい。飾らなくていい。ただ、ここにいるだけで。
FLOWER_BLOW_WELCOME_2	Welcome back. Your mind deserves this moment of quiet.	おかえりなさい。あなたの心に、静かな時間を。
FLOWER_BLOW_WELCOME_3	Whatever kind of day it is, Yin is right here with you.	どんな一日でも、寅はいつでもここにいます。
REFLECTION_Q1	What did you notice today?	きょう、何に気づきましたか？
